box_count,train,val,ratio
1,10377,2410,18.85%
2,11668,3561,23.38%
3,4022,1071,21.03%
4,3192,727,18.55%
5,1370,354,20.53%
6,1200,279,18.86%
7,542,133,19.7%
8,486,197,28.84%
9,477,146,23.43%
10,264,60,18.52%
11,158,35,18.13%
12,148,28,15.91%
13,61,58,48.74%
14,88,11,11.11%
15,74,9,10.84%
16,49,5,9.26%
17,32,23,41.82%
18,43,12,21.82%
19,23,5,17.86%
20,23,2,8.0%
21,21,2,8.7%
22,23,4,14.81%
23,13,1,7.14%
24,13,1,7.14%
25,14,0,0.0%
26,10,0,0.0%
27,5,2,28.57%
28,5,1,16.67%
29,6,0,0.0%
30,6,0,0.0%
31,1,0,0.0%
32,11,1,8.33%
33,5,1,16.67%
34,5,0,0.0%
35,4,0,0.0%
36,8,0,0.0%
37,1,0,0.0%
38,10,0,0.0%
39,4,0,0.0%
40,4,0,0.0%
41,0,1,100.0%
42,3,0,0.0%
43,2,0,0.0%
44,1,0,0.0%
47,1,0,0.0%
49,1,0,0.0%
50,1,0,0.0%
51,1,0,0.0%
52,3,0,0.0%
55,1,0,0.0%
63,0,1,100.0%
67,1,0,0.0%
82,1,0,0.0%
83,1,0,0.0%
89,0,1,100.0%
100,0,1,100.0%
145,1,0,0.0%
TOTAL,34484,9143,20.67%
